date,mdate,companyname,companyid,oil,airline,r,r_f,r_mkt,r_xle
14245,1999m1,PHILLIPS PETROLEUM CO,13928,1,0,"-0,093841642","0,00011685485","0,038504586","-0,065595709"
14276,1999m2,PHILLIPS PETROLEUM CO,13928,1,0,"0,010118593","0,00011782611","-0,038085721","-0,0085959872"
14304,1999m3,PHILLIPS PETROLEUM CO,13928,1,0,"0,22132471","0,00011281052","0,038275369","0,14139979"
14335,1999m4,PHILLIPS PETROLEUM CO,13928,1,0,"0,078536585","0,00013373821","0,049068794","0,14803049"
14365,1999m5,PHILLIPS PETROLEUM CO,13928,1,0,"0,035802472","0,00012326044","-0,020548344","-0,021582734"
14396,1999m6,PHILLIPS PETROLEUM CO,13928,1,0,"-0,040524431","0,00011991614","0,051715218","0,020415537"
14426,1999m7,PHILLIPS PETROLEUM CO,13928,1,0,"0,026700037","0,00011591156","-0,031125946","0,018941505"
14457,1999m8,PHILLIPS PETROLEUM CO,13928,1,0,"-0,0060901348","0,00012026449","-0,0088511091","0,010934936"
14488,1999m9,PHILLIPS PETROLEUM CO,13928,1,0,"-0,044117637","0,00012538896","-0,022750048","-0,046016637"
14518,1999m10,PHILLIPS PETROLEUM CO,13928,1,0,"-0,050727628","0,00011929624","0,05984056","-0,029328687"
14549,1999m11,PHILLIPS PETROLEUM CO,13928,1,0,"0,020366754","0,00011943559","0,033306815","-0,0017341104"
14579,1999m12,PHILLIPS PETROLEUM CO,13928,1,0,"-0,015686274","0,00011104446","0,077118553","0,0035492752"
14610,2000m1,PHILLIPS PETROLEUM CO,13928,1,0,"-0,097931035","0,00011832078","-0,033030529","0,028235294"
14641,2000m2,PHILLIPS PETROLEUM CO,13928,1,0,"-0,0592498","0,00014225645","0,03263865","-0,042334098"
14670,2000m3,PHILLIPS PETROLEUM CO,13928,1,0,"0,21311475","0,00013925054","0,050789982","0,12455773"
14701,2000m4,PHILLIPS PETROLEUM CO,13928,1,0,"0,032801703","0,0001615323","-0,059529461","-0,014925371"
14731,2000m5,PHILLIPS PETROLEUM CO,13928,1,0,"0,20685112","0,00014765505","-0,037927296","0,11742424"
14762,2000m6,PHILLIPS PETROLEUM CO,13928,1,0,"-0,11462882","0,00012809699","0,052085973","-0,055097468"
14792,2000m7,PHILLIPS PETROLEUM CO,13928,1,0,"0,0032016996","0,00014835228","-0,028385125","-0,044012282"
14823,2000m8,PHILLIPS PETROLEUM CO,13928,1,0,"0,21771218","0,00016490924","0,075791962","0,10920771"
14854,2000m9,PHILLIPS PETROLEUM CO,13928,1,0,"0,014141416","0,00016419632","-0,051347088","0,01632951"
14884,2000m10,PHILLIPS PETROLEUM CO,13928,1,0,"-0,047777269","0,00015839377","-0,021384722","-0,042033873"
14915,2000m11,PHILLIPS PETROLEUM CO,13928,1,0,"-0,085020237","0,00016623395","-0,10299527","-0,052450977"
14945,2000m12,PHILLIPS PETROLEUM CO,13928,1,0,"0,006637169","0,00016001069","0,020499526","0,10206194"
14976,2001m1,PHILLIPS PETROLEUM CO,13928,1,0,"0,030857164","0,00015483709","0,041932203","-0,031864375"
15007,2001m2,PHILLIPS PETROLEUM CO,13928,1,0,"-0,085215054","0,00013004697","-0,099504508","-0,012138229"
15035,2001m3,PHILLIPS PETROLEUM CO,13928,1,0,"0,032639243","0,00013338997","-0,070444085","-0,029795604"
15066,2001m4,PHILLIPS PETROLEUM CO,13928,1,0,"0,088789195","0,00012235466","0,084054954","0,10325727"
15096,2001m5,PHILLIPS PETROLEUM CO,13928,1,0,"0,086241603","0,0001007467","0,010347549","-0,0094478838"
15127,2001m6,PHILLIPS PETROLEUM CO,13928,1,0,"-0,11955512","0,000091923757","-0,017543621","-0,09116216"
15157,2001m7,PHILLIPS PETROLEUM CO,13928,1,0,"0,0079867793","0,000090179143","-0,018042443","-0,011532138"
15188,2001m8,PHILLIPS PETROLEUM CO,13928,1,0,"0,0071816365","0,000097887889","-0,05868154","-0,04233335"
15219,2001m9,PHILLIPS PETROLEUM CO,13928,1,0,"0,031631406","0,000092754941","0,012785455","0,034992661"
15249,2001m10,PHILLIPS PETROLEUM CO,13928,1,0,"0,0032045457","0,000062204985","0,035866681","0,038370155"
15280,2001m11,PHILLIPS PETROLEUM CO,13928,1,0,"0,017131813","0,000060250059","0,066907324","-0,062136617"
15310,2001m12,PHILLIPS PETROLEUM CO,13928,1,0,"0,065962255","0,000051424573","0,017726334","0,03986796"
15341,2002m1,PHILLIPS PETROLEUM CO,13928,1,0,"-0,029704567","0,000046275687","-0,016031085","-0,035580553"
15372,2002m2,PHILLIPS PETROLEUM CO,13928,1,0,"0,017402055","0,000045862769","-0,021739893","0,034174725"
15400,2002m3,PHILLIPS PETROLEUM CO,13928,1,0,"0,062425964","0,000048157453","0,04468707","0,088491246"
15431,2002m4,PHILLIPS PETROLEUM CO,13928,1,0,"-0,041880861","0,000048018377","-0,049589068","-0,035998579"
