date,mdate,companyname,companyid,Oil sector,Airline sector,r,r_f,r_mkt,r_xle,xs_mkt,xs_xle,xs_firm
,,,,,,,,,,0.6510%,0.6904%,1.1874%
,,,,,,,,,,,,
,,,,,,,,,,,Airlines,1.1634%
,,,,,,,,,,,Oils,1.2060%
14245,1999m1,PHILLIPS PETROLEUM CO,13928,1,0,-0.093841642,1.16855E-04,0.038504586,-0.065595709,0.038387731,-0.06571256,-0.093958
14276,1999m2,PHILLIPS PETROLEUM CO,13928,1,0,0.010118593,1.17826E-04,-0.038085721,-0.0085959872,-0.038203547,-0.00871381,0.010001
14304,1999m3,PHILLIPS PETROLEUM CO,13928,1,0,0.22132471,1.12811E-04,0.038275369,0.14139979,0.038162558,0.14128698,0.221212
14335,1999m4,PHILLIPS PETROLEUM CO,13928,1,0,0.078536585,1.33738E-04,0.049068794,0.14803049,0.048935056,0.14789675,0.078403
14365,1999m5,PHILLIPS PETROLEUM CO,13928,1,0,0.035802472,1.23260E-04,-0.020548344,-0.021582734,-0.020671604,-0.02170599,0.035679
14396,1999m6,PHILLIPS PETROLEUM CO,13928,1,0,-0.040524431,1.19916E-04,0.051715218,0.020415537,0.051595302,0.02029562,-0.040644
14426,1999m7,PHILLIPS PETROLEUM CO,13928,1,0,0.026700037,1.15912E-04,-0.031125946,0.018941505,-0.031241858,0.01882559,0.026584
14457,1999m8,PHILLIPS PETROLEUM CO,13928,1,0,-0.0060901348,1.20264E-04,-0.0088511091,0.010934936,-0.008971374,0.01081467,-0.006210
14488,1999m9,PHILLIPS PETROLEUM CO,13928,1,0,-0.044117637,1.25389E-04,-0.022750048,-0.046016637,-0.022875437,-0.04614203,-0.044243
14518,1999m10,PHILLIPS PETROLEUM CO,13928,1,0,-0.050727628,1.19296E-04,0.05984056,-0.029328687,0.059721264,-0.02944798,-0.050847
14549,1999m11,PHILLIPS PETROLEUM CO,13928,1,0,0.020366754,1.19436E-04,0.033306815,-0.0017341104,0.033187379,-0.00185355,0.020247
14579,1999m12,PHILLIPS PETROLEUM CO,13928,1,0,-0.015686274,1.11044E-04,0.077118553,0.0035492752,0.077007509,0.00343823,-0.015797
14610,2000m1,PHILLIPS PETROLEUM CO,13928,1,0,-0.097931035,1.18321E-04,-0.033030529,0.028235294,-0.033148850,0.02811697,-0.098049
14641,2000m2,PHILLIPS PETROLEUM CO,13928,1,0,-0.0592498,1.42256E-04,0.03263865,-0.042334098,0.032496394,-0.04247635,-0.059392
14670,2000m3,PHILLIPS PETROLEUM CO,13928,1,0,0.21311475,1.39251E-04,0.050789982,0.12455773,0.050650731,0.12441848,0.212975
14701,2000m4,PHILLIPS PETROLEUM CO,13928,1,0,0.032801703,1.61532E-04,-0.059529461,-0.014925371,-0.059690993,-0.01508690,0.032640
14731,2000m5,PHILLIPS PETROLEUM CO,13928,1,0,0.20685112,1.47655E-04,-0.037927296,0.11742424,-0.038074951,0.11727658,0.206703
14762,2000m6,PHILLIPS PETROLEUM CO,13928,1,0,-0.11462882,1.28097E-04,0.052085973,-0.055097468,0.051957876,-0.05522556,-0.114757
14792,2000m7,PHILLIPS PETROLEUM CO,13928,1,0,0.0032016996,1.48352E-04,-0.028385125,-0.044012282,-0.028533477,-0.04416063,0.003053
14823,2000m8,PHILLIPS PETROLEUM CO,13928,1,0,0.21771218,1.64909E-04,0.075791962,0.10920771,0.075627053,0.10904280,0.217547
14854,2000m9,PHILLIPS PETROLEUM CO,13928,1,0,0.014141416,1.64196E-04,-0.051347088,0.01632951,-0.051511284,0.01616531,0.013977
14884,2000m10,PHILLIPS PETROLEUM CO,13928,1,0,-0.047777269,1.58394E-04,-0.021384722,-0.042033873,-0.021543116,-0.04219227,-0.047936
14915,2000m11,PHILLIPS PETROLEUM CO,13928,1,0,-0.085020237,1.66234E-04,-0.10299527,-0.052450977,-0.103161504,-0.05261721,-0.085186
14945,2000m12,PHILLIPS PETROLEUM CO,13928,1,0,0.006637169,1.60011E-04,0.020499526,0.10206194,0.020339515,0.10190193,0.006477
14976,2001m1,PHILLIPS PETROLEUM CO,13928,1,0,0.030857164,1.54837E-04,0.041932203,-0.031864375,0.041777366,-0.03201921,0.030702
15007,2001m2,PHILLIPS PETROLEUM CO,13928,1,0,-0.085215054,1.30047E-04,-0.099504508,-0.012138229,-0.099634555,-0.01226828,-0.085345
15035,2001m3,PHILLIPS PETROLEUM CO,13928,1,0,0.032639243,1.33390E-04,-0.070444085,-0.029795604,-0.070577475,-0.02992899,0.032506
15066,2001m4,PHILLIPS PETROLEUM CO,13928,1,0,0.088789195,1.22355E-04,0.084054954,0.10325727,0.083932599,0.10313492,0.088667
15096,2001m5,PHILLIPS PETROLEUM CO,13928,1,0,0.086241603,1.00747E-04,0.010347549,-0.0094478838,0.010246802,-0.00954863,0.086141
15127,2001m6,PHILLIPS PETROLEUM CO,13928,1,0,-0.11955512,9.19238E-05,-0.017543621,-0.09116216,-0.017635545,-0.09125408,-0.119647
15157,2001m7,PHILLIPS PETROLEUM CO,13928,1,0,0.0079867793,9.01791E-05,-0.018042443,-0.011532138,-0.018132622,-0.01162232,0.007897
15188,2001m8,PHILLIPS PETROLEUM CO,13928,1,0,0.0071816365,9.78879E-05,-0.05868154,-0.04233335,-0.058779428,-0.04243124,0.007084
15219,2001m9,PHILLIPS PETROLEUM CO,13928,1,0,0.031631406,9.27549E-05,0.012785455,0.034992661,0.012692700,0.03489991,0.031539
15249,2001m10,PHILLIPS PETROLEUM CO,13928,1,0,0.0032045457,6.22050E-05,0.035866681,0.038370155,0.035804476,0.03830795,0.003142
15280,2001m11,PHILLIPS PETROLEUM CO,13928,1,0,0.017131813,6.02501E-05,0.066907324,-0.062136617,0.066847074,-0.06219687,0.017072
15310,2001m12,PHILLIPS PETROLEUM CO,13928,1,0,0.065962255,5.14246E-05,0.017726334,0.03986796,0.017674909,0.03981654,0.065911
15341,2002m1,PHILLIPS PETROLEUM CO,13928,1,0,-0.029704567,4.62757E-05,-0.016031085,-0.035580553,-0.016077361,-0.03562683,-0.029751
15372,2002m2,PHILLIPS PETROLEUM CO,13928,1,0,0.017402055,4.58628E-05,-0.021739893,0.034174725,-0.021785756,0.03412886,0.017356
15400,2002m3,PHILLIPS PETROLEUM CO,13928,1,0,0.062425964,4.81575E-05,0.04468707,0.088491246,0.044638913,0.08844309,0.062378
15431,2002m4,PHILLIPS PETROLEUM CO,13928,1,0,-0.041880861,4.80184E-05,-0.049589068,-0.035998579,-0.049637086,-0.03604660,-0.041929
15461,2002m5,PHILLIPS PETROLEUM CO,13928,1,0,-0.037786357,4.75260E-05,-0.010378457,-0.01759425,-0.010425983,-0.01764178,-0.037834
15492,2002m6,PHILLIPS PETROLEUM CO,13928,1,0,0.023110371,4.68352E-05,-0.07038027,-0.036597311,-0.070427105,-0.03664415,0.023064
15522,2002m7,PHILLIPS PETROLEUM CO,13928,1,0,-0.13731976,4.60008E-05,-0.1116415,-0.15827754,-0.111687501,-0.15832354,-0.137366
15553,2002m8,PHILLIPS PETROLEUM CO,13928,1,0,0.02352331,4.73858E-05,0.0079869293,0.015064251,0.007939543,0.01501687,0.023476
15584,2002m9,PHILLIPS PETROLEUM CO,13928,1,0,-0.12057816,4.64180E-05,-0.10004705,-0.0713709,-0.100093468,-0.07141732,-0.120625
15614,2002m10,PHILLIPS PETROLEUM CO,13928,1,0,0.022006981,4.32168E-05,0.067965768,-0.0090438509,0.067922551,-0.00908707,0.021964
15645,2002m11,PHILLIPS PETROLEUM CO,13928,1,0,0.015051535,4.03708E-05,0.085769519,0.041641913,0.085729148,0.04160154,0.015011
15675,2002m12,PHILLIPS PETROLEUM CO,13928,1,0,0.012131312,3.37625E-05,-0.053307008,0.00010777287,-0.053340771,0.00007401,0.012098
15706,2003m1,PHILLIPS PETROLEUM CO,13928,1,0,-0.0041331011,3.15392E-05,-0.023471564,-0.025078347,-0.023503103,-0.02510989,-0.004165
15737,2003m2,PHILLIPS PETROLEUM CO,13928,1,0,0.060626924,3.16802E-05,-0.015363033,0.029398225,-0.015394713,0.02936654,0.060595
15765,2003m3,PHILLIPS PETROLEUM CO,13928,1,0,0.057199161,3.30008E-05,0.010387371,0.0012980662,0.010354370,0.00126507,0.057166
15796,2003m4,PHILLIPS PETROLEUM CO,13928,1,0,-0.054153103,3.14702E-05,0.082706094,-0.0085125687,0.082674624,-0.00854404,-0.054185
15826,2003m5,PHILLIPS PETROLEUM CO,13928,1,0,0.072962269,3.05658E-05,0.063492015,0.10619071,0.063461449,0.10616014,0.072932
15857,2003m6,PHILLIPS PETROLEUM CO,13928,1,0,0.015378878,3.20277E-05,0.016381502,-0.012819953,0.016349474,-0.01285198,0.015347
15887,2003m7,PHILLIPS PETROLEUM CO,13928,1,0,-0.037536427,2.15333E-05,0.023042586,-0.035342973,0.023021053,-0.03536451,-0.037558
15918,2003m8,PHILLIPS PETROLEUM CO,13928,1,0,0.066870466,2.41054E-05,0.025064796,0.063793078,0.025040691,0.06376897,0.066846
15949,2003m9,PHILLIPS PETROLEUM CO,13928,1,0,-0.019520059,2.71627E-05,-0.0091809705,-0.020678932,-0.009208133,-0.02070609,-0.019547
15979,2003m10,PHILLIPS PETROLEUM CO,13928,1,0,0.037384309,2.17415E-05,0.052226707,0.0055252025,0.052204965,0.00550346,0.037363
16010,2003m11,PHILLIPS PETROLEUM CO,13928,1,0,0.022916429,2.63291E-05,0.017171297,0.0082424693,0.017144968,0.00821614,0.022890
16040,2003m12,PHILLIPS PETROLEUM CO,13928,1,0,0.14700617,2.59102E-05,0.043448426,0.12639329,0.043422516,0.12636738,0.146980
16071,2004m1,PHILLIPS PETROLEUM CO,13928,1,0,0.0061086398,2.20859E-05,0.023842679,0.022875784,0.023820593,0.02285370,0.006087
16102,2004m2,PHILLIPS PETROLEUM CO,13928,1,0,0.051978707,2.29238E-05,0.01544934,0.052538149,0.015426416,0.05251523,0.051956
16131,2004m3,PHILLIPS PETROLEUM CO,13928,1,0,0.013648828,2.58423E-05,-0.010656404,-0.0061753788,-0.010682246,-0.00620122,0.013623
16162,2004m4,PHILLIPS PETROLEUM CO,13928,1,0,0.021343729,2.57712E-05,-0.024238879,0.017041583,-0.024264650,0.01701581,0.021318
16192,2004m5,PHILLIPS PETROLEUM CO,13928,1,0,0.034617759,2.22984E-05,0.014090464,-0.0030160886,0.014068166,-0.00303839,0.034595
16223,2004m6,PHILLIPS PETROLEUM CO,13928,1,0,0.040365458,2.55644E-05,0.021629544,0.062343515,0.021603980,0.06231795,0.040340
16253,2004m7,PHILLIPS PETROLEUM CO,13928,1,0,0.038299002,2.95930E-05,-0.03768605,0.030813254,-0.037715643,0.03078366,0.038269
16284,2004m8,PHILLIPS PETROLEUM CO,13928,1,0,-0.055097077,3.42519E-05,0.0027945098,-0.015408321,0.002760258,-0.01544257,-0.055131
16315,2004m9,PHILLIPS PETROLEUM CO,13928,1,0,0.1131264,3.93233E-05,0.020541692,0.097559355,0.020502369,0.09752003,0.113087
16345,2004m10,PHILLIPS PETROLEUM CO,13928,1,0,0.034537103,4.03005E-05,0.016070303,0.014703787,0.016030002,0.01466349,0.034497
16376,2004m11,PHILLIPS PETROLEUM CO,13928,1,0,0.07992883,4.72535E-05,0.037141424,0.065025538,0.037094171,0.06497828,0.079882
16406,2004m12,PHILLIPS PETROLEUM CO,13928,1,0,-0.046158887,5.60083E-05,0.036282334,-0.030617042,0.036226326,-0.03067305,-0.046215
16437,2005m1,PHILLIPS PETROLEUM CO,13928,1,0,0.06863986,4.79488E-05,-0.026517818,0.033865627,-0.026565767,0.03381768,0.068592
16468,2005m2,PHILLIPS PETROLEUM CO,13928,1,0,0.20109734,5.52449E-05,0.022697801,0.16777629,0.022642556,0.16772105,0.201042
16496,2005m3,PHILLIPS PETROLEUM CO,13928,1,0,-0.027504759,6.83199E-05,-0.016850591,-0.019124312,-0.016918911,-0.01919263,-0.027573
16527,2005m4,PHILLIPS PETROLEUM CO,13928,1,0,-0.027726248,7.15995E-05,-0.025221592,-0.054117095,-0.025293191,-0.05418869,-0.027798
16557,2005m5,PHILLIPS PETROLEUM CO,13928,1,0,0.034873374,7.34756E-05,0.037993193,0.027866857,0.037919717,0.02779338,0.034800
16588,2005m6,PHILLIPS PETROLEUM CO,13928,1,0,0.066209264,7.58995E-05,0.011474352,0.069729075,0.011398452,0.06965318,0.066133
16618,2005m7,PHILLIPS PETROLEUM CO,13928,1,0,0.09413188,8.11338E-05,0.04332678,0.070866086,0.043245646,0.07078495,0.094051
16649,2005m8,PHILLIPS PETROLEUM CO,13928,1,0,0.053522963,8.83692E-05,-0.0060141184,0.063865565,-0.006102488,0.06377720,0.053435
16680,2005m9,PHILLIPS PETROLEUM CO,13928,1,0,0.060206257,9.22463E-05,0.010593397,0.062826492,0.010501151,0.06273425,0.060114
16710,2005m10,PHILLIPS PETROLEUM CO,13928,1,0,-0.05453689,8.57937E-05,-0.013740895,-0.076381281,-0.013826689,-0.07646707,-0.054623
16741,2005m11,PHILLIPS PETROLEUM CO,13928,1,0,-0.074502878,1.02214E-04,0.034165464,0.0042616553,0.034063250,0.00415944,-0.074605
16771,2005m12,PHILLIPS PETROLEUM CO,13928,1,0,-0.038506001,1.08115E-04,0.0034972755,0.018057451,0.003389161,0.01794934,-0.038614
16802,2006m1,PHILLIPS PETROLEUM CO,13928,1,0,0.11206595,1.09467E-04,0.040057153,0.14609417,0.039947686,0.14598470,0.111956
16833,2006m2,PHILLIPS PETROLEUM CO,13928,1,0,-0.05214262,1.14735E-04,-0.0016283552,-0.092264995,-0.001743090,-0.09237973,-0.052257
16861,2006m3,PHILLIPS PETROLEUM CO,13928,1,0,0.035925232,1.22255E-04,0.018970178,0.042485442,0.018847923,0.04236319,0.035803
16892,2006m4,PHILLIPS PETROLEUM CO,13928,1,0,0.05938242,1.27023E-04,0.013077589,0.050367609,0.012950566,0.05024059,0.059255
16922,2006m5,PHILLIPS PETROLEUM CO,13928,1,0,-0.048506722,1.25490E-04,-0.0310251,-0.027826393,-0.031150590,-0.02795188,-0.048632
16953,2006m6,PHILLIPS PETROLEUM CO,13928,1,0,0.035392608,1.29768E-04,-0.0003182299,0.025401149,-0.000447998,0.02527138,0.035263
16983,2006m7,PHILLIPS PETROLEUM CO,13928,1,0,0.032674868,1.22283E-04,-0.0096833464,0.022489557,-0.009805630,0.02236727,0.032553
17014,2006m8,PHILLIPS PETROLEUM CO,13928,1,0,-0.075903252,1.37031E-04,0.025151808,-0.050809942,0.025014777,-0.05094697,-0.076040
17045,2006m9,PHILLIPS PETROLEUM CO,13928,1,0,-0.061485123,1.39857E-04,0.019410975,-0.03660617,0.019271118,-0.03674603,-0.061625
17075,2006m10,PHILLIPS PETROLEUM CO,13928,1,0,0.02744445,1.25072E-04,0.034900714,0.058527492,0.034775642,0.05840242,0.027319
17106,2006m11,PHILLIPS PETROLEUM CO,13928,1,0,0.12067334,1.41490E-04,0.025525862,0.088035017,0.025384372,0.08789353,0.120532
17136,2006m12,PHILLIPS PETROLEUM CO,13928,1,0,0.069093518,1.43203E-04,0.010861081,-0.028151929,0.010717878,-0.02829513,0.068950
17167,2007m1,PHILLIPS PETROLEUM CO,13928,1,0,-0.076997824,1.29323E-04,0.019592071,-0.0092103146,0.019462748,-0.00933964,-0.077127
17198,2007m2,PHILLIPS PETROLEUM CO,13928,1,0,-0.010317864,1.35062E-04,-0.014020795,-0.020485433,-0.014155857,-0.02062049,-0.010453
17226,2007m3,PHILLIPS PETROLEUM CO,13928,1,0,0.046386998,1.42027E-04,0.012952416,0.062914088,0.012810389,0.06277206,0.046245
17257,2007m4,PHILLIPS PETROLEUM CO,13928,1,0,0.014630576,1.38453E-04,0.039758045,0.051260784,0.039619592,0.05112233,0.014492
17287,2007m5,PHILLIPS PETROLEUM CO,13928,1,0,0.12275989,1.30343E-04,0.038909491,0.07779713,0.038779148,0.07766679,0.122630
17318,2007m6,PHILLIPS PETROLEUM CO,13928,1,0,0.013818923,1.30377E-04,-0.014821285,0.012994397,-0.014951662,0.01286402,0.013689
17348,2007m7,PHILLIPS PETROLEUM CO,13928,1,0,0.035099864,1.16709E-04,-0.031721417,0.00014497715,-0.031838126,0.00002827,0.034983
17379,2007m8,PHILLIPS PETROLEUM CO,13928,1,0,0.012988655,1.37021E-04,0.01169362,0.012029015,0.011556599,0.01189199,0.012852
17410,2007m9,PHILLIPS PETROLEUM CO,13928,1,0,0.071803607,1.14552E-04,0.04083449,0.073969804,0.040719938,0.07385525,0.071689
17440,2007m10,PHILLIPS PETROLEUM CO,13928,1,0,-0.028825451,9.24765E-05,0.028808465,0.035882592,0.028715989,0.03579012,-0.028918
17471,2007m11,PHILLIPS PETROLEUM CO,13928,1,0,-0.01508192,1.06659E-04,-0.035230383,0.0065597035,-0.035337042,0.00645305,-0.015189
17501,2007m12,PHILLIPS PETROLEUM CO,13928,1,0,0.10319842,1.00275E-04,-0.0043625203,0.082740203,-0.004462795,0.08263993,0.103098
17532,2008m1,PHILLIPS PETROLEUM CO,13928,1,0,-0.09275201,7.27023E-05,-0.062072419,-0.12287335,-0.062145121,-0.12294605,-0.092825
17563,2008m2,PHILLIPS PETROLEUM CO,13928,1,0,0.038535472,4.32206E-05,-0.021622278,0.092672482,-0.021665499,0.09262926,0.038492
17592,2008m3,PHILLIPS PETROLEUM CO,13928,1,0,-0.078587838,5.68492E-05,-0.010335678,-0.023377867,-0.010392527,-0.02343472,-0.078645
17623,2008m4,PHILLIPS PETROLEUM CO,13928,1,0,0.13042912,3.29297E-05,0.051065568,0.10383476,0.051032638,0.10380183,0.130396
17653,2008m5,PHILLIPS PETROLEUM CO,13928,1,0,0.086194038,2.90371E-05,0.023818126,0.051987763,0.023789089,0.05195873,0.086165
17684,2008m6,PHILLIPS PETROLEUM CO,13928,1,0,0.013856077,5.46236E-05,-0.078533299,0.031577379,-0.078587923,0.03152276,0.013801
17714,2008m7,PHILLIPS PETROLEUM CO,13928,1,0,-0.13022663,4.18265E-05,-0.013053237,-0.15913202,-0.013095064,-0.15917385,-0.130268
17745,2008m8,PHILLIPS PETROLEUM CO,13928,1,0,0.010904181,4.18300E-05,0.010535574,0.0033602158,0.010493744,0.00331839,0.010862
17776,2008m9,PHILLIPS PETROLEUM CO,13928,1,0,-0.11222885,4.43321E-05,-0.098912783,-0.14948308,-0.098957115,-0.14952741,-0.112273
17806,2008m10,PHILLIPS PETROLEUM CO,13928,1,0,-0.38538614,1.54194E-05,-0.26823696,-0.30284712,-0.268252379,-0.30286254,-0.385402
17837,2008m11,PHILLIPS PETROLEUM CO,13928,1,0,0.047868986,3.40000E-06,-0.060760938,0.0072059659,-0.060764338,0.00720257,0.047866
17867,2008m12,PHILLIPS PETROLEUM CO,13928,1,0,-0.013709093,9.72000E-07,0.022324005,-0.044988468,0.022323033,-0.04498944,-0.013710
17898,2009m1,PHILLIPS PETROLEUM CO,13928,1,0,-0.082432441,4.17000E-07,-0.078490332,-0.017793637,-0.078490749,-0.01779405,-0.082433
17929,2009m2,PHILLIPS PETROLEUM CO,13928,1,0,-0.20534265,4.17000E-06,-0.10050758,-0.12331627,-0.100511750,-0.12332044,-0.205347
17957,2009m3,PHILLIPS PETROLEUM CO,13928,1,0,0.048460543,4.44000E-06,0.087015815,0.037752334,0.087011375,0.03774789,0.048456
17988,2009m4,PHILLIPS PETROLEUM CO,13928,1,0,0.046986718,3.75000E-06,0.10942493,0.078191228,0.109421180,0.07818748,0.046983
18018,2009m5,PHILLIPS PETROLEUM CO,13928,1,0,0.12981507,1.25000E-06,0.067855343,0.12887727,0.067854093,0.12887602,0.129814
18049,2009m6,PHILLIPS PETROLEUM CO,13928,1,0,-0.082460709,4.17000E-06,-0.0030959924,-0.065448888,-0.003100162,-0.06545306,-0.082465
18079,2009m7,PHILLIPS PETROLEUM CO,13928,1,0,0.050625741,3.47000E-06,0.081810951,0.053485949,0.081807481,0.05348248,0.050622
18110,2009m8,PHILLIPS PETROLEUM CO,13928,1,0,0.030199032,3.75000E-06,0.031335082,0.010865256,0.031331332,0.01086151,0.030195
18141,2009m9,PHILLIPS PETROLEUM CO,13928,1,0,0.002886988,3.47000E-06,0.045273893,0.058444932,0.045270423,0.05844146,0.002884
18171,2009m10,PHILLIPS PETROLEUM CO,13928,1,0,0.10971148,1.25000E-06,-0.031813566,0.010984816,-0.031814816,0.01098357,0.109710
18202,2009m11,PHILLIPS PETROLEUM CO,13928,1,0,0.039836988,8.33000E-07,0.05139517,0.028769758,0.051394337,0.02876893,0.039836
18232,2009m12,PHILLIPS PETROLEUM CO,13928,1,0,-0.013521359,2.50000E-06,0.028345333,0.0087844403,0.028342833,0.00878194,-0.013524
18263,2010m1,PHILLIPS PETROLEUM CO,13928,1,0,-0.060113564,1.53000E-06,-0.037133396,-0.044027336,-0.037134926,-0.04402887,-0.060115
18294,2010m2,PHILLIPS PETROLEUM CO,13928,1,0,0.010231224,4.17000E-07,0.034774009,0.030091731,0.034773592,0.03009131,0.010231
18322,2010m3,PHILLIPS PETROLEUM CO,13928,1,0,0.066041626,2.64000E-06,0.063639559,0.028217187,0.063636919,0.02821455,0.066039
18353,2010m4,PHILLIPS PETROLEUM CO,13928,1,0,0.15673247,4.03000E-06,0.02006969,0.041550752,0.020065660,0.04154672,0.156728
18383,2010m5,PHILLIPS PETROLEUM CO,13928,1,0,-0.11437667,4.17000E-06,-0.0792135,-0.1145051,-0.079217670,-0.11450927,-0.114381
18414,2010m6,PHILLIPS PETROLEUM CO,13928,1,0,-0.053413045,4.44000E-06,-0.05082589,-0.059288509,-0.050830330,-0.05929295,-0.053417
18444,2010m7,PHILLIPS PETROLEUM CO,13928,1,0,0.13621214,3.75000E-06,0.070217036,0.083735906,0.070213286,0.08373216,0.136208
18475,2010m8,PHILLIPS PETROLEUM CO,13928,1,0,-0.050525188,4.17000E-06,-0.042918108,-0.04903416,-0.042922278,-0.04903833,-0.050529
18506,2010m9,PHILLIPS PETROLEUM CO,13928,1,0,0.095365249,4.72000E-06,0.091566809,0.099984862,0.091562089,0.09998014,0.095361
18536,2010m10,PHILLIPS PETROLEUM CO,13928,1,0,0.040409818,4.31000E-06,0.037957888,0.053835742,0.037953578,0.05383143,0.040406
18567,2010m11,PHILLIPS PETROLEUM CO,13928,1,0,0.018331414,4.03000E-06,0.0087761292,0.047016717,0.008772099,0.04701269,0.018327
18597,2010m12,PHILLIPS PETROLEUM CO,13928,1,0,0.13179326,4.72000E-06,0.067283355,0.093181349,0.067278635,0.09317663,0.131789
18628,2011m1,PHILLIPS PETROLEUM CO,13928,1,0,0.049339216,1.53000E-06,0.019074835,0.071794897,0.019073305,0.07179337,0.049338
18659,2011m2,PHILLIPS PETROLEUM CO,13928,1,0,0.099223919,4.17000E-06,0.038132824,0.073684201,0.038128654,0.07368003,0.099220
