date,Weekday,TICKER,Company Name,Price,Dividends,Market Return,
3/9/07,Friday,BONT,BON TON STORES INC,53.96,0,0.001629,1
3/12/07,Monday,BONT,BON TON STORES INC,54.72,0,0.003146,2
3/13/07,Tuesday,BONT,BON TON STORES INC,52.21,0,-0.020152,3
3/14/07,Wednesday,BONT,BON TON STORES INC,53.65,0,0.005428,4
3/15/07,Thursday,BONT,BON TON STORES INC,54.93,0,0.004782,5
3/16/07,Friday,BONT,BON TON STORES INC,55.15,0,-0.003609,6
3/19/07,Monday,BONT,BON TON STORES INC,56.65,0,0.011054,7
3/20/07,Tuesday,BONT,BON TON STORES INC,56.44,0,0.006793,8
3/21/07,Wednesday,BONT,BON TON STORES INC,56.57,0,0.016756,9
3/22/07,Thursday,BONT,BON TON STORES INC,56.78,0,-0.000143,10
3/23/07,Friday,BONT,BON TON STORES INC,56.54,0,0.001714,11
3/26/07,Monday,BONT,BON TON STORES INC,56.29,0,0.000552,12
3/27/07,Tuesday,BONT,BON TON STORES INC,55.85,0,-0.005695,13
3/28/07,Wednesday,BONT,BON TON STORES INC,55.48,0,-0.006998,14
3/29/07,Thursday,BONT,BON TON STORES INC,56.68,0,0.003515,15
3/30/07,Friday,BONT,BON TON STORES INC,56.24,0,-0.000367,16
4/2/07,Monday,BONT,BON TON STORES INC,56.97,0,0.003037,17
4/3/07,Tuesday,BONT,BON TON STORES INC,55.84,0,0.008917,18
4/4/07,Wednesday,BONT,BON TON STORES INC,54.69,0,0.001485,19
4/5/07,Thursday,BONT,BON TON STORES INC,54.99,0,0.003624,20
4/9/07,Monday,BONT,BON TON STORES INC,54.09,0,0.000583,21
4/10/07,Tuesday,BONT,BON TON STORES INC,53.45,0,0.002689,22
4/11/07,Wednesday,BONT,BON TON STORES INC,52.84,0,-0.005862,23
4/12/07,Thursday,BONT,BON TON STORES INC,52.38,0.05,0.006381,24
4/13/07,Friday,BONT,BON TON STORES INC,51.26,0,0.003734,25
4/16/07,Monday,BONT,BON TON STORES INC,51,0,0.010486,26
4/17/07,Tuesday,BONT,BON TON STORES INC,52.05,0,0.001028,27
4/18/07,Wednesday,BONT,BON TON STORES INC,51.5,0,0.000312,28
3/26/81,Thursday,CEA,CESSNA AIRCRAFT CO,32.125,0,-0.003936,1
3/27/81,Friday,CEA,CESSNA AIRCRAFT CO,32.5,0,-0.009735,2
3/30/81,Monday,CEA,CESSNA AIRCRAFT CO,32.5,0,-0.002232,3
3/31/81,Tuesday,CEA,CESSNA AIRCRAFT CO,32.625,0,0.010563,4
4/1/81,Wednesday,CEA,CESSNA AIRCRAFT CO,32.375,0,0.005773,5
4/2/81,Thursday,CEA,CESSNA AIRCRAFT CO,31,0,0.000215,6
4/3/81,Friday,CEA,CESSNA AIRCRAFT CO,31.375,0,-0.004311,7
4/6/81,Monday,CEA,CESSNA AIRCRAFT CO,31.5,0,-0.010749,8
4/7/81,Tuesday,CEA,CESSNA AIRCRAFT CO,31.625,0,3.00E-06,9
4/8/81,Wednesday,CEA,CESSNA AIRCRAFT CO,31.875,0,0.003588,10
4/9/81,Thursday,CEA,CESSNA AIRCRAFT CO,32.25,0,0.004015,11
4/10/81,Friday,CEA,CESSNA AIRCRAFT CO,32.875,0,0.000486,12
4/13/81,Monday,CEA,CESSNA AIRCRAFT CO,31.875,0,-0.010239,13
4/14/81,Tuesday,CEA,CESSNA AIRCRAFT CO,31.75,0,-0.004886,14
4/15/81,Wednesday,CEA,CESSNA AIRCRAFT CO,33.25,0,0.01046,15
4/16/81,Thursday,CEA,CESSNA AIRCRAFT CO,33.75,0,0.00472,16
4/20/81,Monday,CEA,CESSNA AIRCRAFT CO,34.75,0,0.005441,17
4/21/81,Tuesday,CEA,CESSNA AIRCRAFT CO,34.875,0,-0.008853,18
4/22/81,Wednesday,CEA,CESSNA AIRCRAFT CO,34.5,0.2,-0.000457,19
4/23/81,Thursday,CEA,CESSNA AIRCRAFT CO,34.625,0,-0.000159,20
4/24/81,Friday,CEA,CESSNA AIRCRAFT CO,35.25,0,0.008121,21
4/27/81,Monday,CEA,CESSNA AIRCRAFT CO,35.125,0,0.002527,22
4/28/81,Tuesday,CEA,CESSNA AIRCRAFT CO,34.625,0,-0.009116,23
4/29/81,Wednesday,CEA,CESSNA AIRCRAFT CO,34.5,0,-0.008792,24
4/30/81,Thursday,CEA,CESSNA AIRCRAFT CO,34.625,0,0.00071,25
5/1/81,Friday,CEA,CESSNA AIRCRAFT CO,34.625,0,-0.001023,26
5/4/81,Monday,CEA,CESSNA AIRCRAFT CO,33.625,0,-0.014799,27
5/5/81,Tuesday,CEA,CESSNA AIRCRAFT CO,33,0,-0.003167,28
6/12/14,Thursday,GBX,GREENBRIER COMPANIES INC,56.26,0,-0.005689,1
6/13/14,Friday,GBX,GREENBRIER COMPANIES INC,57.02,0,0.003065,2
6/16/14,Monday,GBX,GREENBRIER COMPANIES INC,58,0,0.001411,3
6/17/14,Tuesday,GBX,GREENBRIER COMPANIES INC,57.47,0,0.002945,4
6/18/14,Wednesday,GBX,GREENBRIER COMPANIES INC,58.68,0,0.006977,5
6/19/14,Thursday,GBX,GREENBRIER COMPANIES INC,60.08,0,0.001688,6
6/20/14,Friday,GBX,GREENBRIER COMPANIES INC,59.12,0,0.002069,7
6/23/14,Monday,GBX,GREENBRIER COMPANIES INC,59.03,0,0.000132,8
6/24/14,Tuesday,GBX,GREENBRIER COMPANIES INC,57.94,0,-0.006983,9
6/25/14,Wednesday,GBX,GREENBRIER COMPANIES INC,58.59,0,0.005118,10
6/26/14,Thursday,GBX,GREENBRIER COMPANIES INC,58.01,0,-0.000555,11
6/27/14,Friday,GBX,GREENBRIER COMPANIES INC,57.09,0,0.002882,12
6/30/14,Monday,GBX,GREENBRIER COMPANIES INC,57.6,0,0.001029,13
7/1/14,Tuesday,GBX,GREENBRIER COMPANIES INC,57.71,0,0.006796,14
7/2/14,Wednesday,GBX,GREENBRIER COMPANIES INC,64.61,0,-0.000307,15
7/3/14,Thursday,GBX,GREENBRIER COMPANIES INC,67.29,0,0.004964,16
7/7/14,Monday,GBX,GREENBRIER COMPANIES INC,65.85,0,-0.006103,17
7/8/14,Tuesday,GBX,GREENBRIER COMPANIES INC,65.56,0,-0.007343,18
7/9/14,Wednesday,GBX,GREENBRIER COMPANIES INC,65.99,0,0.004475,19
7/10/14,Thursday,GBX,GREENBRIER COMPANIES INC,65.1,0,-0.004851,20
7/11/14,Friday,GBX,GREENBRIER COMPANIES INC,65.01,0.15,0.000773,21
7/14/14,Monday,GBX,GREENBRIER COMPANIES INC,65.94,0,0.00456,22
7/15/14,Tuesday,GBX,GREENBRIER COMPANIES INC,65.15,0,-0.003292,23
7/16/14,Wednesday,GBX,GREENBRIER COMPANIES INC,65.74,0,0.00376,24
7/17/14,Thursday,GBX,GREENBRIER COMPANIES INC,64.61,0,-0.010966,25
7/18/14,Friday,GBX,GREENBRIER COMPANIES INC,65.84,0,0.010256,26
7/21/14,Monday,GBX,GREENBRIER COMPANIES INC,64.9,0,-0.002169,27
7/22/14,Tuesday,GBX,GREENBRIER COMPANIES INC,66.07,0,0.005101,28
11/8/12,Thursday,GES,GUESS INC,22.93,0,-0.011569,1
11/9/12,Friday,GES,GUESS INC,22.66,0,0.00094,2
11/12/12,Monday,GES,GUESS INC,22.67,0,-0.000222,3
11/13/12,Tuesday,GES,GUESS INC,22.66,0,-0.004152,4
